repo	theme	total	open	top
google-gemini/gemini-cli	looping	520	19	#22141(164,closed) Gemini CLI becomes extremely slow (1+ HOURS) / stuck during small code-edit task || #21096(50,closed) Request gets stuck with “This is taking a bit longer, we're still on it” after c || #1531(31,closed) [TOOL LOOP] CLI getting stuck in tool loop 
anomalyco/opencode	looping	514	115	#11112(47,open) always stuck at  “Preparing write...” || #18001(42,open) [FEATURE]:Implement /loop command for automated iterative task execution || #11865(21,open) Tasks/Subagents with Codex / OpenAI are frequently getting stuck with no timeout
cline/cline	looping	139	30	#1782(7,closed) API Request Stuck in Loading State with 0 Tokens and Context Window || #7325(6,closed) grok-code-fast-1 enter loop in every prompt || #2136(5,closed) Infinite Loading......
anthropics/claude-code	model_quality	1438	257	#7336(109,closed) Feature Request: Lazy Loading for MCP Servers and Tools (95% context reduction p || #22042(92,closed) [BUG] Critical memory regression in 2.1.27 - OOM crash on simple input || #65632(77,open) [BUG] Inline KaTeX math (`$...$`) no longer renders in chat output — only block 
openai/codex	model_quality	382	238	#30364(429,closed) GPT-5.5 Codex reasoning-token clustering at 516/1034/1552 may be leading to degr || #28058(138,open) Regression: encrypted MultiAgentV2 messages remove readable task audit trail || #32806(67,closed) 🚨 [SEVERE REGRESSION] GPT-5.6 Sol context cut again: 353K → 258K despite adverti
google-gemini/gemini-cli	model_quality	64	1	#24294(32,closed) Extreme performance regression in v0.35.3; resolvable by downgrading to v0.34.0 || #17047(11,closed) BURN IT DOWN. Gemini CLI is dangerously bad. Doesn't follow instructions and is  || #28604(8,closed) v0.53.0 regression causes API Error 400 "Function call is missing a thought_sign
anomalyco/opencode	model_quality	171	25	#4695(204,closed) [FEATURE]: Speech-to-Text Voice Input for Lazy People in OpenCode || #8277(42,closed) [FEATURE]: Lazy/dynamic loading for mcp tools || #5361(17,closed) TUI freezes for ~10 seconds periodically on WSL2 (regression in v1.0.129)
cline/cline	model_quality	17	5	#470(4,closed) Claude Sonnet is lazy and doesn't return complete files in its responses || #9592(2,closed) bug: v3.68.0 max_tokens regression breaks OpenRouter models with large max_compl || #7608(2,closed) Major regression 3.37.1->3.38.x when using Ollama and local model
anthropics/claude-code	memory	2334	393	#73365(176,closed) [BUG] Advisor always "unavailable" with Fable 5 advisor (Opus 4.8 main) across a || #22042(92,closed) [BUG] Critical memory regression in 2.1.27 - OOM crash on simple input || #4953(75,open) Claude Code Memory Leak - Process Grows to 120+ GB RAM and Gets OOM Killed
openai/codex	memory	394	263	#25719(449,open) Codex Desktop for macOS repeatedly triggers `syspolicyd` / `trustd` CPU and memo || #4212(28,open) Windows approval “Allow for this session” isn’t remembered || #13836(21,open) Codex app: support Projects with movable chats, shared memory, and shared upload
google-gemini/gemini-cli	memory	292	19	#23365(35,closed) [☀️ Google Summer Of Code ] Terminal-Integrated Performance & Memory Investigati || #4340(17,closed) "Always Approve" Tool Permission Not Persisting Across Terminal Sessions || #2141(9,closed) Persistent 400 API error
anomalyco/opencode	memory	292	60	#20695(166,open) Memory Megathread || #20066(29,open) [FEATURE]: Make Allow always permission option persist across sessions || #5363(25,closed) opencode eating 70gb of memory?
cline/cline	memory	28	3	#2897(5,closed) File Search Limitations and Memory Usage in Large Projects || #2702(5,closed) Persistent terminal command issue || #2(5,closed) Adding memory
anthropics/claude-code	mcp	4638	659	#6915(378,closed) Allow MCP tools to be available only to subagent || #7328(225,closed) [FEATURE] MCP Tool Filtering: Allow Selective Enable/Disable of Individual Tools || #1785(194,open) [Feature Request] Support for MCP Sampling to leverage Claude Max subscriptions 
openai/codex	mcp	989	590	#5(285,closed) Add MCP support. || #2628(163,closed) Project-specific MCPs || #4226(105,open) MCP server tool support in Codex Web
