repo	theme	total	open	top
anthropics/claude-code	hang_crash	3891	481	#20412(142,closed) Claude.ai MCP servers auto-injected into Claude Code without opt-in — causes OOM || #22042(92,closed) [BUG] Critical memory regression in 2.1.27 - OOM crash on simple input || #16682(82,closed) [BUG] Claude Code 2.1.0 crashes on startup - Invalid Version semver parsing erro
openai/codex	hang_crash	1257	886	#35058(141,closed) Codex Diff crashes with “Oops, an error has occurred” in VS Code on macOS || #20214(87,open) Codex App frequently freezes/stutters on Windows 11 Pro despite sufficient syste || #14048(78,closed) All models — Codex CLI hangs indefinitely on all prompts, no response generated
google-gemini/gemini-cli	hang_crash	449	16	#22415(27,closed) CLI hangs indefinitely on "This is taking a bit longer" with gemini-3.1-pro-prev || #24570(26,closed) Gemini CLI v0.36.0 hangs on "Thinking" indefinitely (>5m) despite AI Pro subscri || #22531(17,closed) gemini-3.1-pro-preview hangs indefinitely in CLI (0.33.1) while other models and
anomalyco/opencode	hang_crash	1155	253	#31122(51,open) OMO Harness Stream Consumer Deadlock: LLM stream hangs indefinitely || #29129(49,closed) OpenAI stream intermittently freezes in working state with high CPU and idle HTT || #33742(47,open) OpenCode v1.17.10 crashes with Bun segmentation fault on Windows; v1.17.9 appear
cline/cline	hang_crash	141	42	#1146(24,closed) Executing terminal commands hangs cline || #531(23,closed) Execute command just freezes || #6516(7,closed) Free cline models crash with Invalid API Response: The provider returned an empt
anthropics/claude-code	windows	5540	953	#4928(235,closed) [BUG] file named nul created on windows || #12506(146,closed) [Feature Request] Claude Desktop: Option to execute commands in WSL instead of W || #29583(144,closed) [BUG] Cowork: Cannot use folders outside home directory on Windows (secondary dr
openai/codex	windows	3827	2774	#13993(245,open) Support standalone Windows installer (`codex-setup.exe`) || #2860(110,closed) Unusable on Windows due to permission ask for every shell command || #20214(87,open) Codex App frequently freezes/stutters on Windows 11 Pro despite sufficient syste
google-gemini/gemini-cli	windows	385	7	#11511(78,closed) Gemini CLI takes up to 39 seconds to load on Windows || #4586(18,closed) Gemini CLI 'lost' files during a failed file move operation. [Windows] || #14598(16,closed) Pressing Ctrl+F to focus shell conflicts with VSCode WSL terminal "Find" functio
anomalyco/opencode	windows	1162	217	#631(138,closed) Windows Support || #16017(138,closed) [FEATURE]: Add Go plan usage/balance API endpoint (rolling/weekly/monthly window || #4340(76,closed) [FEATURE]: Add Windows arm64 support
cline/cline	windows	129	28	#6416(12,open) Cline JetBrains plugin is unable to work with two or more open IDEA projects (Wi || #902(9,closed) Cannot use MCP servers with `npx` on Windows 11 || #1906(4,closed) [Solved] Solution for being unable to install MCP server using npx on Windows
anthropics/claude-code	hallucination	205	48	#53297(8,closed) WebFetch can fabricate confident factual claims by misreading page boilerplate a || #20789(8,closed) Claude in Chrome extension not connecting to browser tabs - "Receiving end does  || #64329(7,closed) Opus 4.8 Model stated multiple unverified claims as fact and fabricates specific
openai/codex	hallucination	38	16	#25965(43,closed) The model 'gpt-image-2' does not exist. || #25971(36,closed) The model 'gpt-image-2' does not exist. || #25967(27,closed) Codex Responds Only with "The model 'gpt-image-2' does not exist."
google-gemini/gemini-cli	hallucination	11	1	#24832(1,closed) Title: Agent claims permanent behavioral corrections without using save_memory || #12457(1,closed) Can't use API key: Failed to save API key: Token file does not exist || #16423(1,closed) Agent Enters "Self-Assured Loop" - Claims Action but Executes No Tools (API 400/
anomalyco/opencode	hallucination	26	5	#27821(1,closed) Homebrew tap formula bumped to v1.15.1 but GitHub release does not exist (404 on || #24249(1,closed) Unusable sessions after 1.14.24 upgrade. New messages on session with just 161.2 || #45293(0,open) grep tool silently returns empty results when the search path does not exist
cline/cline	hallucination	7	2	#10533(0,open) Claude incorrectly recommended removing Prisma multiSchema   @@schema directives || #11439(0,open) replace_in_file says SEARCH block does not match when displayed text exists as a || #8354(0,closed) Cline claims tasks "complete" without verification, makes unauthorized changes, 
anthropics/claude-code	test_gaming	336	59	#25659(53,closed) SSH remote connection fails on Windows — hardcoded /usr/bin/ssh path || #41015(37,closed) [FEATURE] Allow configuring or disabling the URL Handler app install location (c || #24516(26,open) Main branch detection ignores remote HEAD, hardcodes 'main'
openai/codex	test_gaming	28	17	#19679(36,open) Make skills metadata context budget configurable instead of hardcoded 2% || #31882(25,open) gpt-5.6-sol/terra/luna hardcode use_responses_lite / multi_agent_version, causin || #24879(8,open) Bug: auto-review uses hardcoded model name "codex-auto-review", incompatible wit
google-gemini/gemini-cli	test_gaming	32	5	#15493(11,closed) "Feature Request: Allow configuring the default shell execution environment (e.g || #27393(1,open) Command substitution block should be user-configurable, not a hardcoded wall || #26938(1,closed) [bug] --model pin silently leaks: hardcoded aux-role models + single-element las
anomalyco/opencode	test_gaming	58	12	#14882(13,closed) [FEATURE]: Allow disabling or customizing Plan mode's hardcoded READ-ONLY system || #6137(13,closed) [BUG] Cannot scroll to beginning of long conversations (message limit hardcoded  || #17323(6,closed) White text in fenced code blocks: missing parser aliases (sh, yml, py, jsonc) ca
cline/cline	test_gaming	5	3	#9328(2,open) network timeout on response to llama.cpp there is a hardcoded/undocumented netwo || #7635(2,closed) MCP Server Timeout Issue: Hardcoded 5s Limit Ignores User Configuration || #12043(1,open) Zed - ACP model selector in only shows 2 hardcoded options, ignores authenticate
anthropics/claude-code	sandbox	795	167	#28018(75,open) Sandbox: allow outbound connections to localhost || #23416(65,open) [BUG] macOS sandbox blocks Security.framework TLS verification, breaking Go bina || #29533(33,closed) Sandbox blocks Go TLS cert verification on macOS (gh CLI fails)
openai/codex	sandbox	844	529	#29189(64,closed) Codex Desktop 26.616.41845 node_repl fails: codex/sandbox-state-meta missing san || #3141(58,open) Allow GPU access inside sandbox || #10535(38,open) Desktop app: devcontainer-like sandbox environment
